Id,recipe_name,additional_phrase,ing_name,Ing_quantity,Ing_unit,source,audio
5,دہلی پھلکی تڑکے والی,,تیل,2, کھانے کا چمچہ,kfoods,dataset\Dehli  Phalki Tarkay Wali - kfoods.wav
5,دہلی پھلکی تڑکے والی,,نمک,,حسب ذائقہ,kfoods,dataset\Dehli  Phalki Tarkay Wali - kfoods.wav
6,بنگالی فش,بنگالی فش بنانے کے اجزاء,,,,kfoods,dataset\Bangali Fish - kfoods.wav
6,بنگالی فش,,فِش فلے,½,کلو,kfoods,dataset\Bangali Fish - kfoods.wav
6,بنگالی فش,,کوکونٹ ملک,1,کپ,kfoods,dataset\Bangali Fish - kfoods.wav
6,بنگالی فش,,درمیانی پیاز ,1,عدد,kfoods,dataset\Bangali Fish - kfoods.wav
6,بنگالی فش,,ہر ی مرچ ( پیسٹ),5,عدد,kfoods,dataset\Bangali Fish - kfoods.wav
6,بنگالی فش,,کڑی پتے,,چند عدد,kfoods,dataset\Bangali Fish - kfoods.wav
6,بنگالی فش,,تیل,1/4,کپ,kfoods,dataset\Bangali Fish - kfoods.wav
6,بنگالی فش,,اجوائن,½,چائے کا چمچہ,kfoods,dataset\Bangali Fish - kfoods.wav
6,بنگالی فش,,ادرک لہسن کا پیسٹ,2, کھانے کا چمچہ,kfoods,dataset\Bangali Fish - kfoods.wav
6,بنگالی فش,,کھڑا گرم مصالحہ,,حسب ضرورت,kfoods,dataset\Bangali Fish - kfoods.wav
6,بنگالی فش,,نمک,,حسب ذائقہ,kfoods,dataset\Bangali Fish - kfoods.wav
7,سری لنک اسٹائل فش,سری لنک اسٹائل فش بنانے کے اجزاء,,,,kfoods,dataset\Srilankan Style Fish - kfoods.wav
7,سری لنک اسٹائل فش,,مونگ کی دال,50,گرام,kfoods,dataset\Srilankan Style Fish - kfoods.wav
7,سری لنک اسٹائل فش,,مسو ر کی دال,50,گرام,kfoods,dataset\Srilankan Style Fish - kfoods.wav
7,سری لنک اسٹائل فش,,کوکونٹ ملک,1,کپ,kfoods,dataset\Srilankan Style Fish - kfoods.wav
7,سری لنک اسٹائل فش,,بون لیس فِش,300,گرام,kfoods,dataset\Srilankan Style Fish - kfoods.wav
7,سری لنک اسٹائل فش,,نمک,,حسب ذائقہ,kfoods,dataset\Srilankan Style Fish - kfoods.wav
7,سری لنک اسٹائل فش,,لہسن چوپڈ,4,جوئے,kfoods,dataset\Srilankan Style Fish - kfoods.wav
7,سری لنک اسٹائل فش,,درمیانی پیاز,1,عدد,kfoods,dataset\Srilankan Style Fish - kfoods.wav
7,سری لنک اسٹائل فش,,فریش لال مرچ ,1,عدد,kfoods,dataset\Srilankan Style Fish - kfoods.wav
7,سری لنک اسٹائل فش,,سوکھی گول مرچ,5,عدد,kfoods,dataset\Srilankan Style Fish - kfoods.wav
7,سری لنک اسٹائل فش,,ہلدی ,1,چائے کا چمچہ,kfoods,dataset\Srilankan Style Fish - kfoods.wav
7,سری لنک اسٹائل فش,,دار چینی,2,انچ,kfoods,dataset\Srilankan Style Fish - kfoods.wav
7,سری لنک اسٹائل فش,,لیمن اسکن,1,چائے کا چمچہ,kfoods,dataset\Srilankan Style Fish - kfoods.wav
7,سری لنک اسٹائل فش,,کڑی پتے,,چند عدد,kfoods,dataset\Srilankan Style Fish - kfoods.wav
7,سری لنک اسٹائل فش,,میدہ ,4, کھانے کا چمچہ,kfoods,dataset\Srilankan Style Fish - kfoods.wav
7,سری لنک اسٹائل فش,,لیموں کا رس,1 -1 ½,,kfoods,dataset\Srilankan Style Fish - kfoods.wav
8,سکندری پلاﺅ, سکندری پلاﺅ بنانے کے اجزاء,,,,kfoods,dataset\Sikandari Pulao - kfoods.wav
8,سکندری پلاﺅ,,بکرے کا گوشت,½,کلو,kfoods,dataset\Sikandari Pulao - kfoods.wav
8,سکندری پلاﺅ,,اُبلے کالے چنے,½,پاﺅ,kfoods,dataset\Sikandari Pulao - kfoods.wav
8,سکندری پلاﺅ,,چاول,300,گرام,kfoods,dataset\Sikandari Pulao - kfoods.wav
8,سکندری پلاﺅ,,پیاز,2,عدد,kfoods,dataset\Sikandari Pulao - kfoods.wav
8,سکندری پلاﺅ,,ادرک لہسن کا پیسٹ,2, کھانے کا چمچہ,kfoods,dataset\Sikandari Pulao - kfoods.wav
8,سکندری پلاﺅ,,گاجر,1,عدد,kfoods,dataset\Sikandari Pulao - kfoods.wav
8,سکندری پلاﺅ,,دودھ,1,کپ,kfoods,dataset\Sikandari Pulao - kfoods.wav
8,سکندری پلاﺅ,,بادام,50,گرام,kfoods,dataset\Sikandari Pulao - kfoods.wav
8,سکندری پلاﺅ,,پستے ,50,گرام,kfoods,dataset\Sikandari Pulao - kfoods.wav
8,سکندری پلاﺅ,,کاجو,50,گرام,kfoods,dataset\Sikandari Pulao - kfoods.wav
8,سکندری پلاﺅ,,تیز پتے,2,عدد,kfoods,dataset\Sikandari Pulao - kfoods.wav
8,سکندری پلاﺅ,,دار چینی,1,ٹکڑا,kfoods,dataset\Sikandari Pulao - kfoods.wav
8,سکندری پلاﺅ,,چھوٹی الائچی,4,عدد,kfoods,dataset\Sikandari Pulao - kfoods.wav
8,سکندری پلاﺅ,,ثابت زیرہ,1,چائے کا چمچہ,kfoods,dataset\Sikandari Pulao - kfoods.wav
8,سکندری پلاﺅ,,ثابت لال مرچ ,5,عدد,kfoods,dataset\Sikandari Pulao - kfoods.wav
8,سکندری پلاﺅ,,نمک,,حسب ذائقہ,kfoods,dataset\Sikandari Pulao - kfoods.wav
8,سکندری پلاﺅ,,گھی,½,پاﺅ,kfoods,dataset\Sikandari Pulao - kfoods.wav
8,سکندری پلاﺅ,,پانی,1 ½,گلاس,kfoods,dataset\Sikandari Pulao - kfoods.wav
9,پارٹی پران, پارٹی پران بنانے کے اجزاء,,,,kfoods,dataset\Party prawn - kfoods.wav
9,پارٹی پران,,بڑے جھینگے,300,گرام,kfoods,dataset\Party prawn - kfoods.wav
9,پارٹی پران,,میدہ ,150,گرام,kfoods,dataset\Party prawn - kfoods.wav
9,پارٹی پران,,پیاز,1,عدد,kfoods,dataset\Party prawn - kfoods.wav
9,پارٹی پران,,شملہ مرچ,1,عدد,kfoods,dataset\Party prawn - kfoods.wav
9,پارٹی پران,,انڈے,2,عدد,kfoods,dataset\Party prawn - kfoods.wav
9,پارٹی پران,,لہسن کا پیسٹ,1, کھانے کا چمچہ,kfoods,dataset\Party prawn - kfoods.wav
9,پارٹی پران,,بیکنگ پاﺅڈر,½,چائے کا چمچہ,kfoods,dataset\Party prawn - kfoods.wav
9,پارٹی پران,,پسی کا لی مرچ ,1/4,چائے کا چمچہ,kfoods,dataset\Party prawn - kfoods.wav
9,پارٹی پران,,پسی سفید مرچ ,1/4,چائے کا چمچہ,kfoods,dataset\Party prawn - kfoods.wav
9,پارٹی پران,,کارن فلور,2, کھانے کا چمچہ,kfoods,dataset\Party prawn - kfoods.wav
9,پارٹی پران,,تیل ,,فرائی کے لئے,kfoods,dataset\Party prawn - kfoods.wav
9,پارٹی پران,,نمک,,حسب ذائقہ,kfoods,dataset\Party prawn - kfoods.wav
10,فروٹی اسموتھی, فروٹی اسموتھی بنانے کے اجزاء,,,,kfoods,dataset\Fruity Smoothie - kfoods.wav
10,فروٹی اسموتھی,,آڑو,1,کپ,kfoods,dataset\Fruity Smoothie - kfoods.wav
10,فروٹی اسموتھی,,درمیانی کیلے,2,عدد,kfoods,dataset\Fruity Smoothie - kfoods.wav
10,فروٹی اسموتھی,,دہی,1,کپ,kfoods,dataset\Fruity Smoothie - kfoods.wav
10,فروٹی اسموتھی,,برف,1,کپ,kfoods,dataset\Fruity Smoothie - kfoods.wav
10,فروٹی اسموتھی,,چینی,1, کھانے کا چمچہ,kfoods,dataset\Fruity Smoothie - kfoods.wav
11,کرسپ اسپنچ وِد سیلیڈ,کرسپ اسپنچ وِد سیلیڈ بنانے کے اجزاء,,,,kfoods,dataset\Crisp Chicken with Salad - kfoods.wav
11,کرسپ اسپنچ وِد سیلیڈ,,چکن بریسٹ,2,عدد,kfoods,dataset\Crisp Chicken with Salad - kfoods.wav
11,کرسپ اسپنچ وِد سیلیڈ,,کھیر ا (باریک سلائس ) ,1,عدد,kfoods,dataset\Crisp Chicken with Salad - kfoods.wav
11,کرسپ اسپنچ وِد سیلیڈ,,ٹماٹر,2,عدد,kfoods,dataset\Crisp Chicken with Salad - kfoods.wav
11,کرسپ اسپنچ وِد سیلیڈ,,باریک کٹی پالک,1, گٹھی,kfoods,dataset\Crisp Chicken with Salad - kfoods.wav
11,کرسپ اسپنچ وِد سیلیڈ,,مایونیز,½,کپ,kfoods,dataset\Crisp Chicken with Salad - kfoods.wav
11,کرسپ اسپنچ وِد سیلیڈ,,آئس برگ,½,پھول,kfoods,dataset\Crisp Chicken with Salad - kfoods.wav
11,کرسپ اسپنچ وِد سیلیڈ,,باریک چینی,1, کھانے کا چمچہ,kfoods,dataset\Crisp Chicken with Salad - kfoods.wav
11,کرسپ اسپنچ وِد سیلیڈ,,پسی کالی مرچ,½,چائے کا چمچہ,kfoods,dataset\Crisp Chicken with Salad - kfoods.wav
11,کرسپ اسپنچ وِد سیلیڈ,,تیل ,,فرائی کے لئے,kfoods,dataset\Crisp Chicken with Salad - kfoods.wav
11,کرسپ اسپنچ وِد سیلیڈ,,نمک,,حسب ذائقہ,kfoods,dataset\Crisp Chicken with Salad - kfoods.wav
12,کریم آلو,کریم آلو بنانے کے اجزاء,,,,kfoods,dataset\Cream Aloo - kfoods.wav
12,کریم آلو,,آلو,1,کلو,kfoods,dataset\Cream Aloo - kfoods.wav
12,کریم آلو,,ہری پیاز,2,عدد,kfoods,dataset\Cream Aloo - kfoods.wav
12,کریم آلو,,میدہ ,4, کھانے کا چمچہ,kfoods,dataset\Cream Aloo - kfoods.wav
12,کریم آلو,,وویسٹر سوس,2, کھانے کا چمچہ,kfoods,dataset\Cream Aloo - kfoods.wav
12,کریم آلو,,فریش کریم,4, کھانے کا چمچہ,kfoods,dataset\Cream Aloo - kfoods.wav
12,کریم آلو,,نمک,,حسب ذائقہ,kfoods,dataset\Cream Aloo - kfoods.wav
12,کریم آلو,,پسی کالی مرچ,1/4,چائے کا چمچہ,kfoods,dataset\Cream Aloo - kfoods.wav
12,کریم آلو,,پسی سفید مرچ ,1/4,چائے کا چمچہ,kfoods,dataset\Cream Aloo - kfoods.wav
12,کریم آلو,,دودھ,2,کپ,kfoods,dataset\Cream Aloo - kfoods.wav
13,انڈے کی بریانی,انڈے کی بریانی بنانے کے اجزاء,,,,hum masala,dataset\Anday ki biryani.wav
13,انڈے کی بریانی,,ابلے انڈے,8,عدد,hum masala,dataset\Anday ki biryani.wav
13,انڈے کی بریانی,,چاول,2,پیالی,hum masala,dataset\Anday ki biryani.wav
13,انڈے کی بریانی,,باریک کٹی پیاز,3,عدد,hum masala,dataset\Anday ki biryani.wav
13,انڈے کی بریانی,,دہی,½,پیالی,hum masala,dataset\Anday ki biryani.wav
13,انڈے کی بریانی,,نمک,,حسب ذائقہ,hum masala,dataset\Anday ki biryani.wav
13,انڈے کی بریانی,,پسی لال مرچ,1, کھانے کا چمچہ,hum masala,dataset\Anday ki biryani.wav
13,انڈے کی بریانی,,ادرک لہسن کا پیسٹ,1, کھانے کا چمچہ,hum masala,dataset\Anday ki biryani.wav
13,انڈے کی بریانی,,پسا گرم مصالحہ,1,چائے کا چمچہ,hum masala,dataset\Anday ki biryani.wav
13,انڈے کی بریانی,,پودینہ,½, گٹھی,hum masala,dataset\Anday ki biryani.wav
13,انڈے کی بریانی,,کچلی ہری مرچ,6,عدد,hum masala,dataset\Anday ki biryani.wav
13,انڈے کی بریانی,,لیموں,4,عدد,hum masala,dataset\Anday ki biryani.wav
13,انڈے کی بریانی,,مکھن,1, کھانے کا چمچہ,hum masala,dataset\Anday ki biryani.wav
13,انڈے کی بریانی,,چھوٹی الانچی,4,عدد,hum masala,dataset\Anday ki biryani.wav
13,انڈے کی بریانی,,تیل,1,پیالی,hum masala,dataset\Anday ki biryani.wav
13,انڈے کی بریانی,چاول ابالنے کے لیے:,,,,hum masala,dataset\Anday ki biryani.wav
13,انڈے کی بریانی,,پودینہ,½, گٹھی,hum masala,dataset\Anday ki biryani.wav
13,انڈے کی بریانی,,ہری مرچ,3,عدد,hum masala,dataset\Anday ki biryani.wav
13,انڈے کی بریانی,,ثابت گرم مصالحہ,,تھوڑا سا,hum masala,dataset\Anday ki biryani.wav
13,انڈے کی بریانی,,کالا زیرہ,1,چائے کا چمچہ,hum masala,dataset\Anday ki biryani.wav
13,انڈے کی بریانی,,سفید سرکہ,1, کھانے کا چمچہ,hum masala,dataset\Anday ki biryani.wav
13,انڈے کی بریانی,,نمک,,حسب ذائقہ,hum masala,dataset\Anday ki biryani.wav
13,انڈے کی بریانی,,تازہ دودھ,½,پیالی,hum masala,dataset\Anday ki biryani.wav
13,انڈے کی بریانی,,زردے کا رنگ,1,چٹکی,hum masala,dataset\Anday ki biryani.wav
14,انڈے کا حلوہ,انڈے کا حلوہ بنانے کے اجزاء,,,,hum masala,dataset\Anday Ka Halwa.wav
14,انڈے کا حلوہ,,انڈے,12,عدد,hum masala,dataset\Anday Ka Halwa.wav
14,انڈے کا حلوہ,,پھیکا کھویا,3,پاؤ,hum masala,dataset\Anday Ka Halwa.wav
14,انڈے کا حلوہ,,چھوٹی الائچی,8,عدد,hum masala,dataset\Anday Ka Halwa.wav
14,انڈے کا حلوہ,,چینی,2,پیالی,hum masala,dataset\Anday Ka Halwa.wav
14,انڈے کا حلوہ,,تیل,2,پیالی,hum masala,dataset\Anday Ka Halwa.wav
14,انڈے کا حلوہ,,چینی,1, چائے کا چمچہ,hum masala,dataset\Anday Ka Halwa.wav
14,انڈے کا حلوہ,,ابلے بادام، پستے,,حسب ضرورت,hum masala,dataset\Anday Ka Halwa.wav
15,مکئی کی روٹی,مکئی کی روٹی بنانے کے اجزاء,,,,hum masala,dataset\Makai ki Roti.wav
15,مکئی کی روٹی,,مکئی کا آٹا,2,پیالی,hum masala,dataset\Makai ki Roti.wav
15,مکئی کی روٹی,,سادہ آتا,1,پیالی,hum masala,dataset\Makai ki Roti.wav
15,مکئی کی روٹی,,نمک,,حسب ذائقہ,hum masala,dataset\Makai ki Roti.wav
15,مکئی کی روٹی,,مکھن یا گھی,,حسب ضرورت,hum masala,dataset\Makai ki Roti.wav
16,بے بی کارن رائس,بے بی کارن رائس بنانے کے اجزاء,,,,hum masala,dataset\babycorn rice.wav
16,بے بی کارن رائس,,ابلے چاول,2,کپ,hum masala,dataset\babycorn rice.wav
16,بے بی کارن رائس,,مشروم,1,کپ,hum masala,dataset\babycorn rice.wav
16,بے بی کارن رائس,,بند گوبهی,1,کپ,hum masala,dataset\babycorn rice.wav
16,بے بی کارن رائس,,شملہ مرچ,1,کپ,hum masala,dataset\babycorn rice.wav
16,بے بی کارن رائس,,ہری پیاز,1,کپ,hum masala,dataset\babycorn rice.wav
16,بے بی کارن رائس,,ادرک لہسن,2, چائے کا چمچہ,hum masala,dataset\babycorn rice.wav
16,بے بی کارن رائس,,ہری مرچ کا پیسٹ,2, چائے کا چمچہ,hum masala,dataset\babycorn rice.wav
16,بے بی کارن رائس,,کٹی گاجر,2,عدد,hum masala,dataset\babycorn rice.wav
16,بے بی کارن رائس,,سوسچز,4,عدد,hum masala,dataset\babycorn rice.wav
16,بے بی کارن رائس,,ابلے نوڈلز,1,کپ,hum masala,dataset\babycorn rice.wav
16,بے بی کارن رائس,,سویا سوس,4, کھانے کا چمچہ,hum masala,dataset\babycorn rice.wav
16,بے بی کارن رائس,,کالی مرچ,1, چائے کا چمچہ,hum masala,dataset\babycorn rice.wav
16,بے بی کارن رائس,,نمک,1, چائے کا چمچہ,hum masala,dataset\babycorn rice.wav
16,بے بی کارن رائس,,تیل,3, کھانے کا چمچہ,hum masala,dataset\babycorn rice.wav
17,چنا کشمش پلاؤ,چنا کشمش پلاؤ بنانے کے اجزاء,,,,hum masala,dataset\Chana Kishmish Pulao.wav
17,چنا کشمش پلاؤ,,کابلی چنے ,½,کلو,hum masala,dataset\Chana Kishmish Pulao.wav
17,چنا کشمش پلاؤ,,کشمش,1,پاؤ,hum masala,dataset\Chana Kishmish Pulao.wav
17,چنا کشمش پلاؤ,,ہری مرچ,4,عدد,hum masala,dataset\Chana Kishmish Pulao.wav
17,چنا کشمش پلاؤ,,باریک کٹی پیاز,4,عدد,hum masala,dataset\Chana Kishmish Pulao.wav
17,چنا کشمش پلاؤ,,چھوٹی الائچی,6,عدد,hum masala,dataset\Chana Kishmish Pulao.wav
17,چنا کشمش پلاؤ,,تیل,1,پیالی,hum masala,dataset\Chana Kishmish Pulao.wav
17,چنا کشمش پلاؤ,,دہی,½,پیالی,hum masala,dataset\Chana Kishmish Pulao.wav
17,چنا کشمش پلاؤ,,سیلا چاول,½-2,پیالی,hum masala,dataset\Chana Kishmish Pulao.wav
17,چنا کشمش پلاؤ,,کالا زیرہ,1,چائے کا چمچہ,hum masala,dataset\Chana Kishmish Pulao.wav
17,چنا کشمش پلاؤ,,ادرک لہسن کا پیسٹ,1, کھانے کا چمچہ,hum masala,dataset\Chana Kishmish Pulao.wav
17,چنا کشمش پلاؤ,,مکھن,2, کھانے کا چمچہ,hum masala,dataset\Chana Kishmish Pulao.wav
17,چنا کشمش پلاؤ,,پودینہ,,تھوڑا سا,hum masala,dataset\Chana Kishmish Pulao.wav
17,چنا کشمش پلاؤ,,نمک,,حسب ذائقہ,hum masala,dataset\Chana Kishmish Pulao.wav
17,چنا کشمش پلاؤ,یخنی کے لیے:,,,,hum masala,dataset\Chana Kishmish Pulao.wav
17,چنا کشمش پلاؤ,,ثابت پیاز,1,عدد,hum masala,dataset\Chana Kishmish Pulao.wav
17,چنا کشمش پلاؤ,,ثابت لہسن,1,ڈلی,hum masala,dataset\Chana Kishmish Pulao.wav
17,چنا کشمش پلاؤ,,پانی,4,پیالی,hum masala,dataset\Chana Kishmish Pulao.wav
17,چنا کشمش پلاؤ,,ثابت گرم مصالحہ,,تھوڑا سا,hum masala,dataset\Chana Kishmish Pulao.wav
17,چنا کشمش پلاؤ,,سونف,1, کھانے کا چمچہ,hum masala,dataset\Chana Kishmish Pulao.wav
17,چنا کشمش پلاؤ,,ثابت دھنیا,2, کھانے کا چمچہ,hum masala,dataset\Chana Kishmish Pulao.wav
17,چنا کشمش پلاؤ,,نمک,,حسب ذائقہ,hum masala,dataset\Chana Kishmish Pulao.wav
18,کریمی فروٹ چاٹ,کریمی فروٹ چاٹ بنانے کے اجزاء,,,,hum masala,dataset\Creamy Fruit Chaat.wav
18,کریمی فروٹ چاٹ,,فروٹ کوکٹیل,1,ٹن,hum masala,dataset\Creamy Fruit Chaat.wav
18,کریمی فروٹ چاٹ,,لال جیلی,1,پیکٹ,hum masala,dataset\Creamy Fruit Chaat.wav
18,کریمی فروٹ چاٹ,,ہری جیلی,1,پیکٹ,hum masala,dataset\Creamy Fruit Chaat.wav
18,کریمی فروٹ چاٹ,,کریم,1,پیکٹ,hum masala,dataset\Creamy Fruit Chaat.wav
18,کریمی فروٹ چاٹ,,چینی ,1,پیکٹ,hum masala,dataset\Creamy Fruit Chaat.wav
18,کریمی فروٹ چاٹ,,ونیلا ایسنس,4, کھانے کا چمچہ,hum masala,dataset\Creamy Fruit Chaat.wav
18,کریمی فروٹ چاٹ,,باریک کٹے بادام,½,چائے کا چمچہ,hum masala,dataset\Creamy Fruit Chaat.wav
